id,title,year,rating
1,Um Sonho de Liberdade,1994,9.3
2,O Poderoso Chefão,1972,9.2
3,Batman: O Cavaleiro das Trevas,2008,9.0
4,O Poderoso Chefão: Parte II,1974,9.0
5,12 Homens e uma Sentença,1957,9.0
6,O Senhor dos Anéis: O Retorno do Rei,2003,9.0
7,A Lista de Schindler,1993,9.0
8,Pulp Fiction: Tempo de Violência,1994,8.9
9,O Senhor dos Anéis: A Sociedade do Anel,2001,8.9
10,Três Homens em Conflito,1966,8.8
11,Forrest Gump: O Contador de Histórias,1994,8.8
12,O Senhor dos Anéis: As Duas Torres,2002,8.8
13,Clube da Luta,1999,8.8
14,A Origem,2010,8.8
15,Star Wars: Episódio V - O Império Contra-Ataca,1980,8.7
16,Matrix,1999,8.7
17,Os Bons Companheiros,1990,8.7
18,Um Estranho no Ninho,1975,8.7
19,Interestelar,2014,8.7
20,Seven - Os Sete Crimes Capitais,1995,8.6
21,A Felicidade Não se Compra,1946,8.6
22,O Silêncio dos Inocentes,1991,8.6
23,Os Sete Samurais,1954,8.6
24,O Resgate do Soldado Ryan,1998,8.6
25,Cidade de Deus,2002,8.6
